7	36:21	41:18	56:9	88:0	169:4	256:0	268:0
7	37:21	42:18	57:9	89:0	170:4	257:0	269:0
7	38:21	43:18	58:9	90:0	171:4	258:0	270:0
7	39:21	44:18	59:9	91:0	172:4	259:0	271:0
7	40:21	45:18	48:10	92:0	173:4	260:0	272:0
7	41:21	46:18	49:10	93:0	174:4	261:0	273:0
7	42:21	47:18	50:10	94:0	175:4	262:0	274:0
7	36:19	43:21	51:10	95:0	176:4	263:0	275:0
7	39:15	40:12	48:0	124:10	139:16	516:0	528:0
7	40:15	41:12	49:0	125:10	140:16	517:0	529:0
7	41:15	42:12	50:0	126:10	141:16	518:0	530:0
7	42:15	43:12	51:0	127:10	142:16	519:0	531:0
7	43:15	44:12	52:0	128:10	143:16	520:0	532:0
7	44:15	45:12	53:0	129:10	132:17	521:0	533:0
7	45:15	46:12	54:0	130:10	133:17	522:0	534:0
7	46:15	47:12	55:0	131:10	134:17	523:0	535:0
7	36:13	47:15	56:0	120:11	135:17	524:0	536:0
7	36:16	37:13	57:0	121:11	136:17	525:0	537:0
7	37:16	38:13	58:0	122:11	137:17	526:0	538:0
7	38:16	39:13	59:0	123:11	138:17	527:0	539:0
