10	5:12	16:4	31:10	36:3	48:13	106:2	172:16	253:3	434:0	446:0
10	6:12	17:4	32:10	37:3	49:13	107:2	173:16	254:3	435:0	447:0
10	7:12	18:4	33:10	38:3	50:13	96:3	174:16	255:3	436:0	448:0
10	8:12	19:4	34:10	39:3	51:13	97:3	175:16	256:3	437:0	449:0
10	9:12	20:4	35:10	40:3	52:13	98:3	176:16	257:3	438:0	450:0
10	10:12	21:4	24:11	41:3	53:13	99:3	177:16	258:3	439:0	451:0
10	11:12	22:4	25:11	42:3	54:13	100:3	178:16	259:3	440:0	452:0
10	0:13	23:4	26:11	43:3	55:13	101:3	179:16	260:3	441:0	453:0
10	1:13	12:5	27:11	44:3	56:13	102:3	168:17	261:3	442:0	454:0
10	2:13	13:5	28:11	45:3	57:13	103:3	169:17	262:3	443:0	455:0
10	4:13	18:10	24:13	43:20	48:0	61:0	136:1	227:2	444:0	456:0
10	5:13	19:10	25:13	44:20	49:0	62:0	137:1	216:3	445:0	457:0
10	6:13	20:10	26:13	45:20	50:0	63:0	138:1	217:3	446:0	458:0
10	7:13	21:10	27:13	46:20	51:0	64:0	139:1	218:3	447:0	459:0
10	8:13	22:10	28:13	47:20	52:0	65:0	140:1	219:3	448:0	460:0
10	9:13	23:10	29:13	36:21	53:0	66:0	141:1	220:3	449:0	461:0
10	10:13	12:11	30:13	37:21	54:0	67:0	142:1	221:3	450:0	462:0
10	11:13	13:11	31:13	38:21	55:0	68:0	143:1	222:3	451:0	463:0
10	0:14	14:11	32:13	39:21	56:0	69:0	132:2	223:3	452:0	464:0
10	1:14	15:11	33:13	40:21	57:0	70:0	133:2	224:3	453:0	465:0
10	2:14	16:11	34:13	41:21	58:0	71:0	134:2	225:3	454:0	466:0
10	3:14	17:11	35:13	42:21	59:0	60:1	135:2	226:3	455:0	467:0
10	11:24	15:19	25:1	37:0	53:1	108:2	184:3	218:10	456:0	468:0
10	0:25	16:19	26:1	38:0	54:1	109:2	185:3	219:10	457:0	469:0
10	1:25	17:19	27:1	39:0	55:1	110:2	186:3	220:10	458:0	470:0
10	2:25	18:19	28:1	40:0	56:1	111:2	187:3	221:10	459:0	471:0
