11	39:5	58:2	120:10	156:6	182:19	331:3	465:7	972:7	1077:0	2131:0	2143:0
11	6:6	78:17	112:0	174:27	216:2	372:16	515:11	872:0	1052:8	1407:0	1419:0
11	12:16	84:7	106:0	171:1	185:11	235:23	652:4	740:8	1009:5	1581:0	1593:0
11	40:25	50:17	117:7	134:6	181:5	364:22	663:0	775:26	1234:0	1959:0	1971:0
11	24:1	82:2	116:0	160:8	223:0	318:15	541:17	849:9	1048:16	1771:0	1783:0
11	35:29	70:7	91:0	175:0	190:0	378:5	698:8	735:7	1170:4	1639:0	1651:0
11	6:23	66:10	120:8	161:6	192:11	395:0	718:0	960:10	1017:0	1880:0	1892:0
11	47:4	63:8	126:1	148:23	184:1	298:0	520:3	844:8	1080:3	2002:0	2014:0
11	21:0	68:0	101:26	176:14	212:19	224:23	665:25	894:5	1208:2	1628:0	1640:0
11	10:18	70:3	123:20	149:4	216:26	332:10	591:8	901:27	1124:24	1762:0	1774:0
11	38:20	52:11	121:22	166:0	189:8	318:11	655:19	951:18	1033:7	1677:0	1689:0
11	33:7	65:28	117:23	174:3	214:0	414:19	506:17	811:2	1136:22	1939:0	1951:0
11	43:24	78:1	122:1	135:8	207:29	284:5	518:23	814:27	1104:26	1610:0	1622:0
11	39:12	88:23	103:9	164:6	212:22	254:22	623:0	795:15	1121:8	1534:0	1546:0
11	10:6	82:17	116:0	178:27	220:2	376:16	507:12	864:1	1044:9	1411:0	1423:0
11	26:18	72:6	107:16	140:29	208:1	244:28	552:10	784:0	1295:7	1885:0	1897:0
11	40:19	76:24	112:0	167:19	211:4	431:13	635:0	909:1	1094:0	1716:0	1728:0
11	28:15	63:26	115:0	154:0	184:1	344:6	493:5	895:22	1227:0	1851:0	1863:0
11	33:15	68:26	108:1	147:1	189:1	337:7	498:5	888:23	1232:0	1856:0	1868:0
11	2:14	61:1	101:13	173:14	213:0	370:0	633:10	724:19	1027:4	1593:0	1605:0
11	44:28	77:0	87:2	159:19	225:3	249:7	568:1	812:21	1101:2	1348:0	1360:0
11	24:12	57:17	119:10	172:0	220:3	404:20	491:13	955:0	1276:2	2116:0	2128:0
11	5:15	80:18	139:18	155:0	219:1	376:29	530:2	821:11	1265:19	1439:0	1451:0
11	33:1	85:8	114:0	133:9	203:18	334:13	709:2	944:17	1136:0	1518:0	1530:0
11	12:22	54:1	116:3	158:17	192:2	359:29	539:4	917:1	1178:4	2021:0	2033:0
11	19:6	86:2	122:3	148:6	180:6	364:15	698:7	722:0	1214:13	1489:0	1501:0
11	31:15	66:26	118:0	145:1	187:1	347:6	496:5	898:22	1230:0	1854:0	1866:0
11	5:13	64:0	104:12	176:13	204:0	361:0	624:10	727:18	1030:3	1584:0	1596:0
11	21:0	51:0	97:29	168:7	194:0	356:5	601:0	852:21	1246:0	1369:0	1381:0
11	11:14	74:18	133:18	149:0	225:0	382:28	536:1	827:10	1271:18	1433:0	1445:0
11	47:19	49:11	130:21	163:0	186:8	315:11	652:19	948:18	1042:6	1674:0	1686:0
11	44:19	58:10	127:21	160:0	183:8	312:11	649:19	957:17	1039:6	1671:0	1683:0
11	23:22	79:7	105:3	165:11	217:0	396:15	674:0	915:0	1117:29	1813:0	1825:0
11	4:0	91:28	110:17	145:2	221:12	298:14	664:8	792:3	1204:14	1781:0	1793:0
11	8:12	67:0	135:26	146:12	186:21	249:4	575:0	801:0	1154:21	1795:0	1807:0
11	18:9	72:22	111:0	138:3	214:23	305:6	469:27	927:0	1113:14	2090:0	2102:0
11	14:0	84:11	101:0	190:18	201:6	287:12	611:0	723:22	1053:0	1949:0	1961:0
11	5:14	57:6	86:1	150:0	222:1	267:12	673:24	920:2	1070:2	1902:0	1914:0
11	43:4	71:7	122:1	144:23	180:1	294:0	516:3	840:8	1088:2	1998:0	2010:0
11	23:28	54:0	142:3	170:25	220:20	404:12	577:9	789:29	1250:4	2069:0	2081:0
11	18:2	39:28	102:2	163:0	218:0	275:22	455:23	763:22	1057:13	1694:0	1706:0
11	34:29	69:7	90:0	174:0	189:0	377:5	697:8	734:7	1169:4	1638:0	1650:0
11	17:0	87:11	104:0	181:19	192:7	278:13	602:1	726:22	1044:1	1952:0	1964:0
11	9:7	77:20	115:0	152:25	198:23	307:24	690:26	981:10	1188:13	1358:0	1370:0
11	8:2	94:5	98:1	136:29	209:13	415:6	534:9	938:3	1268:0	1330:0	1342:0
11	20:22	49:19	121:7	140:2	202:8	284:7	438:11	959:16	1198:24	1557:0	1569:0
11	14:5	48:3	100:0	160:1	201:24	347:10	478:5	769:6	1251:22	1836:0	1848:0
11	38:4	66:7	129:0	151:22	187:0	289:0	523:2	847:7	1083:2	1993:0	2005:0
