8	18:97	23:14	80:19	159:110	236:36	261:25	408:0	411:0
8	19:97	21:15	78:20	160:110	234:37	262:25	409:0	412:0
8	20:97	22:15	79:20	161:110	235:37	263:25	410:0	413:0
8	7:47	25:77	87:86	213:6	238:77	258:97	411:0	414:0
8	8:47	26:77	88:86	214:6	239:77	259:97	412:0	415:0
8	6:48	24:78	89:86	215:6	237:78	260:97	413:0	416:0
8	13:26	15:100	119:31	183:4	226:51	264:21	414:0	417:0
8	14:26	16:100	117:32	184:4	227:51	265:21	415:0	418:0
8	12:27	17:100	118:32	185:4	225:52	266:21	416:0	419:0
8	1:112	27:100	113:21	134:66	236:24	241:55	417:0	420:0
8	2:112	28:100	111:22	132:67	234:25	242:55	418:0	421:0
8	0:113	29:100	112:22	133:67	235:25	240:56	419:0	422:0
8	7:105	22:40	124:12	202:113	232:8	252:28	420:0	423:0
8	8:105	23:40	125:12	203:113	233:8	253:28	421:0	424:0
8	6:106	21:41	123:13	201:114	231:9	254:28	422:0	425:0
8	0:116	97:80	166:82	225:40	230:43	256:70	423:0	426:0
8	1:116	98:80	167:82	226:40	228:44	257:70	424:0	427:0
8	2:116	96:81	165:83	227:40	229:44	255:71	425:0	428:0
8	3:110	12:89	101:36	172:38	231:27	248:115	426:0	429:0
8	4:110	13:89	99:37	173:38	232:27	246:116	427:0	430:0
8	5:110	14:89	100:37	171:39	233:27	247:116	428:0	431:0
8	0:32	16:13	62:25	169:56	239:6	254:81	429:0	432:0
8	1:32	17:13	60:26	170:56	237:7	252:82	430:0	433:0
8	2:32	15:14	61:26	168:57	238:7	253:82	431:0	434:0
8	2:67	20:30	28:87	124:50	218:90	255:32	432:0	435:0
8	0:68	18:31	29:87	125:50	216:91	256:32	433:0	436:0
8	1:68	19:31	27:88	123:51	217:91	257:32	434:0	437:0
8	0:47	16:64	48:73	208:61	229:36	261:101	435:0	438:0
8	1:47	17:64	49:73	209:61	230:36	262:101	436:0	439:0
8	2:47	15:65	50:73	207:62	228:37	263:101	437:0	440:0
8	5:45	25:83	35:55	56:91	138:56	240:108	438:0	441:0
8	3:46	26:83	33:56	54:92	139:56	241:108	439:0	442:0
8	4:46	24:84	34:56	55:92	140:56	242:108	440:0	443:0
8	1:108	18:117	148:86	195:77	232:27	260:110	441:0	444:0
8	2:108	19:117	149:86	196:77	233:27	258:111	442:0	445:0
8	0:109	20:117	147:87	197:77	231:28	259:111	443:0	446:0
8	14:38	22:63	58:69	187:108	230:80	268:81	444:0	447:0
8	12:39	23:63	59:69	188:108	228:81	269:81	445:0	448:0
8	13:39	21:64	57:70	186:109	229:81	267:82	446:0	449:0
8	9:32	17:105	124:106	176:43	234:19	246:118	447:0	450:0
8	10:32	15:106	125:106	174:44	235:19	247:118	448:0	451:0
8	11:32	16:106	123:107	175:44	236:19	248:118	449:0	452:0
8	8:26	19:56	55:45	157:86	227:102	250:105	450:0	453:0
8	6:27	20:56	56:45	158:86	225:103	251:105	451:0	454:0
8	7:27	18:57	54:46	156:87	226:103	249:106	452:0	455:0
8	1:16	11:68	136:110	224:109	241:44	248:96	453:0	456:0
8	2:16	9:69	137:110	222:110	242:44	246:97	454:0	457:0
8	0:17	10:69	135:111	223:110	240:45	247:97	455:0	458:0
8	15:88	21:40	29:23	73:102	199:13	252:57	456:0	459:0
8	16:88	22:40	27:24	74:102	200:13	253:57	457:0	460:0
8	17:88	23:40	28:24	72:103	198:14	254:57	458:0	461:0
8	4:25	25:71	105:75	216:55	227:27	260:81	459:0	462:0
8	5:25	26:71	106:75	217:55	225:28	258:82	460:0	463:0
8	3:26	24:72	107:75	218:55	226:28	259:82	461:0	464:0
8	13:107	19:60	28:47	96:21	152:2	251:110	462:0	465:0
8	14:107	20:60	29:47	97:21	150:3	249:111	463:0	466:0
8	12:108	18:61	27:48	98:21	151:3	250:111	464:0	467:0
8	11:22	22:73	41:3	66:114	162:63	233:21	465:0	468:0
8	9:23	23:73	39:4	67:114	163:63	231:22	466:0	469:0
8	10:23	21:74	40:4	68:114	164:63	232:22	467:0	470:0
8	7:91	20:117	113:106	190:114	245:69	268:114	468:0	471:0
8	8:91	18:118	111:107	191:114	243:70	269:114	469:0	472:0
8	6:92	19:118	112:107	189:115	244:70	267:115	470:0	473:0
8	0:76	23:33	27:39	91:115	181:98	247:104	471:0	474:0
8	1:76	21:34	28:39	92:115	182:98	248:104	472:0	475:0
8	2:76	22:34	29:39	90:116	180:99	246:105	473:0	476:0
8	4:85	17:113	103:30	178:65	225:25	262:77	474:0	477:0
8	5:85	15:114	104:30	179:65	226:25	263:77	475:0	478:0
8	3:86	16:114	102:31	177:66	227:25	261:78	476:0	479:0
8	6:54	29:53	43:16	115:2	148:101	239:76	477:0	480:0
