5	19:9	43:64	53:51	501:0	504:0
5	20:9	44:64	51:52	502:0	505:0
5	18:10	42:65	52:52	503:0	506:0
5	12:79	37:41	49:81	504:0	507:0
5	13:79	38:41	50:81	505:0	508:0
5	14:79	36:42	48:82	506:0	509:0
5	46:21	59:97	98:82	507:0	510:0
5	47:21	57:98	96:83	508:0	511:0
5	45:22	58:98	97:83	509:0	512:0
5	3:119	33:85	39:2	510:0	513:0
5	4:119	34:85	40:2	511:0	514:0
5	5:119	35:85	41:2	512:0	515:0
5	53:28	55:92	71:55	513:0	516:0
5	51:29	56:92	69:56	514:0	517:0
5	52:29	54:93	70:56	515:0	518:0
5	14:44	27:114	79:88	516:0	519:0
5	12:45	28:114	80:88	517:0	520:0
5	13:45	29:114	78:89	518:0	521:0
5	34:80	92:58	120:66	519:0	522:0
5	35:80	90:59	121:66	520:0	523:0
5	33:81	91:59	122:66	521:0	524:0
5	61:43	116:89	123:62	525:0	528:0
5	62:43	114:90	124:62	526:0	529:0
5	60:44	115:90	125:62	527:0	530:0
5	17:111	32:3	51:113	528:0	531:0
5	15:112	30:4	52:113	529:0	532:0
5	16:112	31:4	53:113	530:0	533:0
5	47:28	79:57	88:72	531:0	534:0
5	45:29	80:57	89:72	532:0	535:0
5	46:29	78:58	87:73	533:0	536:0
5	8:66	9:100	39:52	534:0	537:0
5	6:67	10:100	40:52	535:0	538:0
5	7:67	11:100	41:52	536:0	539:0
