9	6:119	17:35	74:36	98:118	231:81	257:99	279:73	301:0	304:0
9	5:109	25:106	57:47	134:46	222:19	233:6	258:113	321:0	324:0
9	4:40	26:45	73:72	172:24	183:66	238:27	249:88	344:0	347:0
9	2:49	14:80	29:90	124:28	200:14	246:71	269:113	462:0	465:0
9	1:32	23:96	87:31	151:25	208:6	235:32	245:107	506:0	509:0
9	7:119	15:36	72:37	96:119	232:81	255:100	280:73	302:0	305:0
9	4:68	65:30	145:95	201:6	226:119	236:6	244:108	412:0	415:0
9	8:118	16:35	73:36	97:118	233:80	256:99	281:72	300:0	303:0
9	11:15	21:5	29:7	92:54	148:111	197:35	245:95	435:0	438:0
9	1:47	14:62	28:21	83:119	157:60	242:67	297:68	487:0	490:0
9	4:44	27:61	53:93	170:16	235:52	265:68	273:88	404:0	407:0
9	23:94	25:66	36:67	141:99	229:78	256:22	294:110	414:0	417:0
9	2:89	21:79	94:78	104:117	178:78	231:6	250:96	387:0	390:0
9	14:9	29:83	87:7	134:62	237:38	254:40	280:81	454:0	457:0
