10	9:11	47:11	52:6	91:12	103:13	162:3	323:1	412:2	856:0	880:0
10	8:6	31:2	58:5	87:1	111:6	205:1	343:8	520:1	869:0	893:0
10	14:14	29:12	51:4	79:2	106:14	232:3	265:5	460:2	642:0	666:0
10	11:1	25:1	56:3	86:14	118:0	170:6	369:10	569:13	737:0	761:0
10	16:6	26:1	63:1	84:2	100:10	161:5	321:1	521:11	598:0	1077:0
10	3:11	47:0	50:3	80:3	102:0	213:4	305:3	464:0	601:0	625:0
10	20:0	34:0	65:2	95:13	103:0	179:5	378:9	554:13	722:0	746:0
10	4:1	42:0	49:3	79:14	111:0	187:5	362:10	562:13	730:0	754:0
10	18:0	33:1	48:2	89:11	104:1	191:1	259:0	424:3	835:0	859:0
10	10:7	24:6	54:7	73:11	114:0	139:0	274:1	437:2	906:0	930:0
10	1:8	38:1	58:3	85:0	119:0	138:0	386:6	458:12	678:0	702:0
10	14:6	37:2	64:5	93:1	117:6	211:1	349:8	526:1	875:0	899:0
10	19:6	33:5	63:6	82:10	99:0	124:0	283:0	446:1	891:0	915:0
10	17:11	44:0	71:4	84:2	97:14	217:10	380:9	497:0	664:0	688:0
10	15:4	43:4	66:2	81:4	104:13	135:7	308:11	555:1	790:0	814:0
10	6:5	46:3	65:9	85:1	114:13	152:1	387:9	454:0	756:0	780:0
10	21:14	31:4	48:5	95:8	115:13	175:9	297:5	543:5	711:0	735:0
10	1:11	28:0	55:4	92:1	105:13	225:9	364:9	481:0	648:0	672:0
10	9:7	27:12	51:1	79:12	99:1	207:9	316:12	561:0	1053:0	1077:0
10	10:5	26:4	69:9	89:1	118:13	156:1	391:9	434:1	760:0	784:0
10	21:6	35:5	65:6	84:10	101:0	126:0	285:0	448:1	893:0	917:0
10	8:11	31:4	63:0	90:5	102:5	235:0	260:4	545:11	949:0	973:0
10	5:14	27:6	59:9	82:8	113:14	148:0	348:11	425:11	793:0	817:0
10	19:11	46:0	49:5	86:2	99:14	219:10	382:9	499:0	666:0	690:0
10	15:6	38:2	65:5	94:1	118:6	212:1	350:8	527:1	876:0	900:0
10	18:11	45:0	48:5	85:2	98:14	218:10	381:9	498:0	665:0	689:0
10	10:5	35:1	67:3	91:9	101:6	126:7	356:9	532:9	584:0	608:0
