11	22:4	40:4	61:13	103:26	120:1	187:26	429:4	570:2	694:0	966:0	974:0
11	5:9	49:26	75:0	113:41	151:2	255:23	342:17	583:0	703:12	938:0	946:0
11	29:12	35:19	93:3	101:15	129:24	260:0	404:43	605:33	859:6	970:0	978:0
11	9:4	30:42	65:4	106:1	149:0	182:34	298:36	506:34	704:20	1133:0	1141:0
11	25:13	59:13	79:13	113:28	127:0	228:6	344:31	670:17	765:10	1007:0	1015:0
11	16:24	53:9	56:2	95:0	145:7	152:6	300:23	667:3	855:30	1069:0	1077:0
11	17:1	55:3	77:0	105:12	148:0	215:22	362:25	562:14	697:24	1180:0	1188:0
11	6:21	34:10	63:1	103:0	147:2	180:18	450:36	609:4	715:3	1271:0	1279:0
11	21:9	46:3	87:31	89:0	122:0	238:29	297:0	506:0	842:3	1321:0	1329:0
11	29:29	49:37	73:1	108:30	140:7	284:21	416:2	602:3	735:0	1149:0	1157:0
11	19:2	63:11	76:0	91:13	129:28	220:20	479:2	626:26	758:0	1012:0	1020:0
11	27:38	33:26	72:12	93:9	120:8	247:33	446:0	514:40	821:1	1310:0	1318:0
11	17:4	43:3	56:13	98:26	123:0	190:25	424:4	573:1	689:0	961:0	969:0
11	23:23	52:9	63:1	94:0	144:7	159:5	299:23	666:3	854:30	1068:0	1076:0
11	21:2	57:12	78:0	93:13	131:28	222:20	473:3	628:26	752:1	1014:0	1022:0
11	3:17	29:3	71:16	119:2	149:4	153:1	311:33	527:18	838:7	1042:0	1050:0
11	13:8	35:5	67:1	111:2	128:38	226:17	317:9	512:10	834:34	1231:0	1239:0
11	14:42	33:0	89:5	113:37	151:29	267:18	384:13	520:44	837:5	1376:0	1384:0
11	11:34	51:11	69:5	109:17	145:0	268:22	450:0	611:0	749:43	1209:0	1217:0
11	5:3	59:8	67:1	93:43	142:19	276:9	359:13	627:4	845:0	887:0	895:0
11	16:18	37:26	75:16	116:0	144:5	264:31	327:20	639:0	852:3	1412:0	1420:0
